EXECUTIONID,ABSTRACTIONID,ACTIONID,ARENAID,SHEETID,SYSTEMID,VARIANTID,ADAPTERID,X,Y,TYPE,VALUE,RAWVALUE,VALUETYPE,LASTMODIFIED,EXECUTIONTIME
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,64d05590-d055-4031-9454-10d0c7cfa0e1,original,8,-1,-1,jacoco_class_class.total,1,,,2023-05-11T14:12:01.196Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,3486e19a-52de-48c3-9837-421913effd88,original,8,-1,-1,loader.artifacts,1,,,2023-05-11T14:12:02.642Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,df9bea55-3b46-4d48-bd65-53bd113e4135,original,7,-1,-1,jacoco_class_complexity.missed,9,,,2023-05-11T14:12:01.062Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,execute,all,3cfe7c2b-23b1-40ba-a87e-bdaa481b5690,original,9,-1,-1,loader.classes_loaded,12,,,2023-05-11T14:11:59.080Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,d6edfca0-cf87-4494-a125-63aca4d76cf9,original,9,-1,-1,jacoco_class_method.total,6,,,2023-05-11T14:12:02.663Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,3cfe7c2b-23b1-40ba-a87e-bdaa481b5690,original,4,-1,-1,jacoco_class_method.missedratio,1.0,,,2023-05-11T14:12:00.637Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,c729dee8-59fd-4e75-a90c-27e2f05f4a74,original,8,-1,-1,jacoco_class_method.covered,0,,,2023-05-11T14:12:01.062Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,c729dee8-59fd-4e75-a90c-27e2f05f4a74,original,5,-1,-1,jacoco_class_method.total,6,,,2023-05-11T14:12:00.690Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,df9bea55-3b46-4d48-bd65-53bd113e4135,original,4,-1,-1,jacoco_class_branch.total,0,,,2023-05-11T14:12:00.583Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,df9bea55-3b46-4d48-bd65-53bd113e4135,original,9,-1,-1,jacoco_class_class.missedratio,1.0,,,2023-05-11T14:12:01.394Z,0
