EXECUTIONID,ABSTRACTIONID,ACTIONID,ARENAID,SHEETID,SYSTEMID,VARIANTID,ADAPTERID,X,Y,TYPE,VALUE,RAWVALUE,VALUETYPE,LASTMODIFIED,EXECUTIONTIME
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,noname,test1_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,original,0,0,1,value,"""A/[M99LO)9}(c_Gg?U""","""A/[M99LO)9}(c_Gg?U""",java.lang.Object,2022-12-22T14:01:34.011Z,6060039
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,original_pit,test4_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant8,0,0,1,value,false,false,boolean,2022-12-22T14:01:36.196Z,274200
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,amplified_pit,test7_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant3,0,0,0,value,_INSTANCE_,miniml.Stack,miniml.Stack,2022-12-22T14:01:37.035Z,249777
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,amplified_pit,all,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant7,0,-1,-1,mutation.method,isEmpty()Z,,,2022-12-22T14:01:37.482Z,0
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,original_pit,test1_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant0,0,0,-1,value,null,null,void,2022-12-22T14:01:35.005Z,130387
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,amplified_pit,test1_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant4,0,0,-1,value,null,null,void,2022-12-22T14:01:37.075Z,106695
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,original_pit,test7_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant4,0,0,1,value,0,0,int,2022-12-22T14:01:35.759Z,171619
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,amplified_pit,test7_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant8,0,0,1,value,0,0,int,2022-12-22T14:01:37.618Z,177757
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,amplified_jacoco,all,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,original,0,-1,-1,jacoco_class_complexity.total,8,,,2022-12-22T14:01:36.469Z,0
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,original_jacoco,test1_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,original,0,0,1,value,"""A/[M99LO)9}(c_Gg?U""","""A/[M99LO)9}(c_Gg?U""",java.lang.Object,2022-12-22T14:01:34.361Z,210772
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,amplified_pit,test4_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant0,0,0,-1,value,null,null,void,2022-12-22T14:01:36.663Z,135832
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,original_pit,test0_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant0,0,0,1,value,"""""","""""",java.lang.Object,2022-12-22T14:01:34.983Z,202304
